Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
23590.0	acer	15	fhd	intel	7	8	8	128	ssd	mx150	win10	1.7
29990.0	acer	15	fhd	intel	7	8	8	1000	hdd	gtx 1050 ti	free dos	2.4
14490.0	acer	14	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.5
8999.0	acer	14	fhd	intel	1	4	4	64	emmc	uhd 600	win10	1.4
34990.0	acer	15	fhd	intel	7	9	8	256	ssd	gtx 1660 ti	win10	2.4
9890.0	acer	15	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
40990.0	acer	15	fhd	intel	7	8	16	1000	hdd	gtx 1060	free dos	2.6
9499.0	acer	15	fhd	intel	3	6	4	500	hdd	hd 520	free dos	2.2
12899.0	acer	14	fhd	intel	5	8	4	1000	hdd	uhd 620	free dos	2.0
16999.0	acer	15	fhd	intel	7	8	4	1000	hdd	mx150	free dos	2.2
14790.0	acer	15	fhd	intel	5	8	4	1000	hdd	mx150	free dos	2.2
10790.0	acer	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	2.2
