Keyword	Mark
['geforce', 'gts', '250']	875
['geforce', 'gts', '250m']	569
['geforce', 'gts', '350m']	556
['geforce', 'gts', '360m']	756
['geforce', 'gts', '450']	1556
['geforce', 'gtx', '1050']	4769
['geforce', 'gtx', '1050', '(mobile)']	4495
['geforce', 'gtx', '1050', 'ti']	6057
['geforce', 'gtx', '1050', 'ti', '(mobile)']	5989
['geforce', 'gtx', '1050', 'ti', 'with', 'max-q', 'design']	5799
['geforce', 'gtx', '1050', 'with', 'max-q', 'design']	3897
['geforce', 'gtx', '1060']	9096
['geforce', 'gtx', '1060', '(mobile)']	7701
['geforce', 'gtx', '1060', '3gb']	8992
['geforce', 'gtx', '1060', '5gb']	6684
['geforce', 'gtx', '1060', 'with', 'max-q', 'design']	7863
['geforce', 'gtx', '1070']	11375
['geforce', 'gtx', '1070', '(mobile)']	9520
['geforce', 'gtx', '1070', 'ti']	12314
['geforce', 'gtx', '1070', 'with', 'max-q', 'design']	9480
['geforce', 'gtx', '1080']	12458
['geforce', 'gtx', '1080', 'ti']	14223
['geforce', 'gtx', '1080', 'with', 'max-q', 'design']	10248
['geforce', 'gtx', '1650']	7950
['geforce', 'gtx', '1650', '(mobile)']	7023
['geforce', 'gtx', '1650', 'super']	5208
['geforce', 'gtx', '1650', 'with', 'max-q', 'design']	5604
['geforce', 'gtx', '1660']	10788
['geforce', 'gtx', '1660', 'super']	11269
['geforce', 'gtx', '1660', 'ti']	11533
['geforce', 'gtx', '1660', 'ti', '(mobile)']	9747
['geforce', 'gtx', '1660', 'ti', 'with', 'max-q', 'design']	8441
['geforce', 'gtx', '260']	1136
['geforce', 'gtx', '260m']	589
['geforce', 'gtx', '275']	1245
['geforce', 'gtx', '280']	1207
['geforce', 'gtx', '280m']	620
['geforce', 'gtx', '285']	1273
['geforce', 'gtx', '285m']	734
['geforce', 'gtx', '295']	1053
['geforce', 'gtx', '460']	2654
['geforce', 'gtx', '460', 'se']	2260
['geforce', 'gtx', '460', 'v2']	2495
['geforce', 'gtx', '460m']	1395
['geforce', 'gtx', '465']	2947
['geforce', 'gtx', '470']	3601
['geforce', 'gtx', '470m']	1949
['geforce', 'gtx', '480']	4359
['geforce', 'gtx', '480m']	2050
['geforce', 'gtx', '485m']	2400
['geforce', 'gtx', '550', 'ti']	1921
['geforce', 'gtx', '555']	2159
['geforce', 'gtx', '560']	3118
['geforce', 'gtx', '560', 'se']	2194
