Name	Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
Pavilion 15-cc042TU (3MS16PA)	11690.0	hp	15	hd	intel	3	7	4	1000	hdd	hd 620	win10	2.1
15-bs667TX (3MS02PA)	15990.0	hp	15	fhd	intel	7	7	4	1000	hdd	radeon 530	win10	1.9
EliteBook 1050 G1 (5JJ71PA)	44990.0	hp	15	fhd	intel	7	8	16	512	ssd	gtx 1050	free dos	2.6
EliteBook X360 1030 G3 (5AS42PA)	49990.0	hp	13	fhd	intel	7	8	16	512	ssd	uhd 620	win10	1.3
ProBook 430 G6 (5YN03PA)	21990.0	hp	13	fhd	intel	7	8	4	256	ssd	uhd 620	free dos	1.4
ProBook 430 G6 (5YN22PA)	16490.0	hp	13	hd	intel	5	8	4	500	hdd	uhd 620	free dos	1.4
ProBook 430 G6 (5YN01PA)	22390.0	hp	13	fhd	intel	7	8	8	1000	hdd	uhd 620	free dos	1.4
250 G7-6MM08PA	15190.0	hp	15	fhd	intel	5	8	4	1000	hdd	mx110	free dos	1.8
ProBook 455 G6-6XA63PA	21399.0	hp	15	fhd	amd	7	2	8	256	ssd	radeon vega 10	free dos	2.0
EliteBook X360 1040 G6 (6QH36AV)	51990.0	hp	14	fhd	intel	7	8	16	512	ssd	uhd 620	win10 pro	1.4
EliteBook X360 830 G6 (7QR66PA)	34990.0	hp	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10 pro	1.5
Ideapad 330-15KBR (81DE0278VN)	10290.0	lenovo	15	hd	intel	3	8	4	1000	hdd	uhd 620	free dos	2.2
Ideapad S340-15IWL (81N800AAVN)	14299.0	lenovo	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.8
Ideapad L340-15IRH (81LK007JVN)	20500.0	lenovo	15	fhd	intel	7	9	8	1000	hdd	gtx 1050	free dos	2.2
Ideapad S340-14IWL-81N70064VN	12990.0	lenovo	14	fhd	intel	3	8	8	1000	hdd	uhd 620	win10	1.6
